Time (s),p_chol_LE Tokens
1.714,2648567105.3138003
1.716,2650458461.698348
1.718,2648969174.254714
1.72,2650501563.983916
1.722,2650645226.0926595
1.724,2648970750.505685
1.726,2648571844.1799054
1.728,2649960833.390775
1.73,2650081361.216628
1.732,2648953416.8379235
1.734,2649998782.938709
1.736,2648947363.9595656
1.738,2649997426.4354105
1.74,2648948607.5743656
1.742,2648890423.7268624
1.744,2650494206.241444
1.746,2648968405.896581
1.748,2648572924.163407
1.75,2650457074.532741
1.752,2650642029.661782
1.754,2648650566.8123426
1.756,2648548508.708122
1.758,2648542107.436551
1.76,2650454559.807469
1.762,2648966097.119822
1.764,2650498899.7839108
1.766,2650107999.5898795
1.768,2648630627.509641
1.77,2650460113.032816
1.772,2648963006.1564856
1.774,2648890227.355116
1.776,2650491370.1574225
1.778,2650644117.6945276
1.78,2648650488.215111
1.782,2648547286.40149
1.784,2648865103.678636
1.786,2648563308.4475403
1.788,2648863132.4096303
1.79,2650486808.960603
1.792,2648962755.13198
1.794,2650494841.640616
1.796,2650104256.1718783
1.798,2648626988.051172
1.8,2648543278.619063
1.802,2648537257.0978475
1.804,2648859800.159617
1.806,2650482449.4807744
1.808,2648638489.656239
1.81,2648861576.2401915
1.812,2648877163.0563946
1.814,2650483013.2294774
1.816,2650636984.592581
1.818,2648643088.5705853
1.82,2648540869.503486
1.822,2650447012.5810513
1.824,2648639845.344469
1.826,2648866414.663095
1.828,2648560883.5828557
1.83,2650452770.271463
1.832,2648962160.576665
1.834,2648565895.9804363
1.836,2648860707.7294827
1.838,2648559793.727666
1.84,2649953387.2901096
1.842,2648621560.7281857
1.844,2650455730.763562
1.846,2648641164.389776
1.848,2649960461.3600607
1.85,2648619833.807711
1.852,2649959894.3523026
1.854,2650596482.7807045
1.856,2648966171.5126476
1.858,2648889153.5641184
1.86,2650486792.9716444
1.862,2648640844.8894205
1.864,2648865995.3016148
1.866,2649985045.6571374
1.868,2650077390.6084557
1.87,2650085255.9711394
1.872,2648947344.158145
1.874,2650495891.7803135
1.8760000000000001,2650105016.3993387
1.8780000000000001,2650084590.0684495
1.8800000000000001,2648945975.2288
1.8820000000000001,2648566021.0875244
1.8840000000000001,2648864868.1108484
1.8860000000000001,2648885921.9835973
1.8880000000000001,2648565410.316961
1.8900000000000001,2649959763.127962
1.8920000000000001,2648946285.724717
1.8940000000000001,2648570307.566519
1.8960000000000001,2648866340.914653
1.8980000000000001,2648565346.973595
1.9000000000000001,2650456112.344359
1.9020000000000001,2648647148.5452785
1.9040000000000001,2648549529.3239813
1.9060000000000001,2648542566.8347673
1.9080000000000001,2648868466.948766
1.9100000000000001,2650491986.446674
1.9120000000000001,2648968626.407181
1.9140000000000001,2649998157.732785
1.9160000000000001,2648944858.980725
1.9180000000000001,2650496294.630408
1.92,2650643763.7066298
1.922,2648970015.3907557
1.924,2650501454.6085877
1.926,2650644654.9401436
1.928,2648970121.8255486
1.93,2648568438.5902596
1.932,2649958644.0232797
1.934,2650079256.0348
1.936,2650610604.7521653
1.938,2650650782.170462
1.94,2648968082.5109816
1.942,2649993688.106388
1.944,2650600558.2629023
1.946,2648648240.275627
1.948,2649964756.3032393
1.95,2650596447.349377
1.952,2650647236.716268
1.954,2650108959.178417
1.956,2650603771.341476
1.958,2650641480.8168344
1.96,2648638566.548766
1.962,2649954544.48183
1.964,2648615030.375212
1.966,2648536246.8500576
1.968,2650442828.9903464
1.97,2648953282.628985
1.972,2648880927.628041
1.974,2649981473.6772957
1.976,2650594640.3695526
1.978,2650642551.430695
1.98,2648960590.9784775
1.982,2648881177.4695086
1.984,2648556686.9153605
1.986,2648536658.9141083
1.988,2649952963.0762005
1.99,2650598571.5067005
1.992,2648966554.005474
1.994,2648566053.285401
1.996,2648862896.7703147
1.998,2649985498.004599
2.0,2648623424.174526
2.0020000000000002,2648862891.2660146
2.004,2650485096.35833
2.0060000000000002,2648961452.549372
2.008,2648566045.3428454
2.0100000000000002,2650451713.6488557
2.012,2648641252.4215736
2.0140000000000002,2649963641.9595404
2.016,2650077141.479264
2.0180000000000002,2648630852.2934446
2.02,2650461993.442518
2.0220000000000002,2648645232.941621
2.024,2649966873.076361
2.0260000000000002,2648626386.5665245
2.028,2650462571.8149915
2.0300000000000002,2648647023.067635
2.032,2649968333.1541815
2.0340000000000003,2648946552.801705
2.036,2649997161.798301
2.0380000000000003,2648629383.404828
2.04,2650461807.6008615
2.0420000000000003,2648963812.481818
2.044,2650499288.5124063
2.0460000000000003,2650643374.8198066
2.048,2648650130.9741435
2.05,2648868635.1294956
2.052,2650489701.180467
2.054,2648964543.8101726
2.056,2649997383.6964827
2.058,2648946454.999114
2.06,2649993708.8382897
2.062,2650077318.03783
2.064,2648628253.8577657
2.066,2649961845.7996993
2.068,2648622289.9339023
2.07,2649961748.424578
2.072,2650075952.732683
2.074,2650609591.331789
2.076,2648969091.7692094
